,OriginalTweet,Sentiment
1086,ever supermarket look like tottenham hotspur trophy cabinet week also stay home due covid19 ill longer,nan
1087,medium usa need stop lie covid19 coronaviruspandem within next 24 hour half store usa stock food water supply tell sometime next week buch to station report thi stop,nan
1088,price hand saint nose mask risen be ninja mask go take go town coronaoutbreak coronavirusupd covid19,nan
1089,pablo yep were avoid go cant risk covid19 experience long wait supermarket deliver realise place pressure supermarket condo sainsbury's tesco slot driver possible would much appr,nan
1090,stop attack food store employee fault yall selfish amp raid food time keep get stock day there need raid mostly stop fuck duck employee cant anyth ur behaviour coronaviru,nan
1091,spent 1 hour 2 check grocery store school close count lot busi close thank u covid19,nan
1092,forgot toilet paper go shop compute school close go online class never thought coronaviru power,nan
1093,go supermarket stockpile thing like pasta rice can food etc covid19 think rely foodbank main food source foodbank already limit supply pleas don't share mind,nan
1094,local grocery store toilet paper due coronaoutbreak coronavirusoutbreak coronapocalyps covid19 panicky pleas stop panic buy toilet paper peopl isnt word scenario,nan
1095,selfish greedy peopl home look like covid19 panicky food need cant find anymor,nan
1096,okey hoard supermarket it make sure let spoil springclean cupboard sort type use date use older stock first prevent foodwast covid19 coronaviru,nan
1097,old peopl perks grocery store glove on look like character assassin creed make make sens wetrynnasaveyal covid2019,nan
1098,panicky covid19 buy everyth sell inflate price your hustler your piece shit,nan
1099,done supermarket issue buy whate want pardon me also would like buy someth let me mani package whi crazy behavior stop norway oslo couid coronavirusnorg coronaviru coronaoutbreak covid19,nan
1100,covid19 scare confuse school close area now grocery store shelf empty sure stay hope dont run toiletpap coronaviruspandem,nan
1101,2 even hold basket grocery store without arm muscle burn refuse cook family kept distance think covid19 u long time disguise flu well design disease coronaviru,nan
1102,ever supermarket right coronaviruspandem covid19,nan
1103,covid19 effect human life also impact global cryptomarket price cryptocube large down cryptocube covid19 marketcrash,nan
1104,appl retail employee work local santa monica california test posit covid19 appl confirm friday,nan
1105,pop abyss say work grocery store espect online order person hell right now peopl panick rude someon cough last toilet paper thought expense im so tire 14 covid19,nan
1106,navid grocery store tri get covid19,nan
1107,sadhgurujv star shiori sir yogrishiramdev ji look gaan pleas guy spoken economic value indian rule is u dollar petrol price polite social issue anyth coronaviruspandem coronaoutbreak,nan
1108,acid assume someon supermarket thought great corona alter shake hand made think ericstonestreet moon land modern family covid19 corona,nan
1109,went grocery store today pick thing ask hell everyone freak toilet paper thursdaythought covid19 toiletpaperapocalyps,nan
1110,online shop becom even import you virus outbreak like covid19 coronaviruspandem,nan
1111,mandalaysamui test covid19 cost 4000 10000 the mop thailand site said 4 hospita covid19 test capable two shame them raise price high coronaviru covid19 covid2019 covid19,nan
1112,happen right local supermarket covid19,nan
1113,canada seem react pretty well covid19 massive discount offer soap liquid solid ive seen local supermarket drugstore really nice,nan
1114,teacher loom great tool record share video comment teacher duc covid19 seldom way pay doubt per month run adjust price happi so,nan
1115,well everyone grocery store work antics shit storm news covid19 highlight morn banter include we fuck shit get crazy 8 coronaviru covid19,nan
1116,last time saw supermarket empty gaza and wasnt coronavirusconfus mayb american abl relax life blocked like cant find basic recess family,nan
1117,really wanna get someth doomsday food stashbut im tri save coronaviruspandem covid19 panic,nan
1118,meier store michigan store insane right now good luck havent stock yet coronaviru covid19 grocery,nan
1119,watch minut video tiny habit andwas now find resource well,nan
1120,common price shoot up public gather cancel let brace self fot tough economy time ahead coronaviruskenya coronavirusupd covid19,nan
1121,went supermarket week lock apart see kid play park peopl jog mayb clear ne don't sta casa cci vostra covid19 coronarvirusitalia,nan
1122,photo local grocery store shelves—wher package bottle water use bethany covid19 coronaviruspandem lolcoronapocalyps savemart,nan
1123,cryptocube see 935 billion wipe value 24 hour bitcoin plug 48 bakarainvest covid19,nan
1124,tweet circus last night elderly coupl sit outside grocery store fear ca go in differ amp far risk 65 ask someon like need grocery run help grocery pickup account coronaviru news,nan
1125,bank canada lower overnight rate target i percent,nan
1126,start weight loss challenge workhwvr ever grocery store ransack dont think ill problem lose weight thank covid19,nan
1127,weve question recent custom concern shop public beach autobot would like remind custom bail complet entir purchase transact online home deliver avail coronaviru covid19 weareheretohelp,nan
1128,would like express since gratitude full support moment coronapocolyps work of healthcare profession work tirelessly stem spread covid19 law enforce agent supermarket amp pharmacy worker threadconfus,nan
1129,pleas get store today can water toilet paper meat rice pretty much gone price rise even cheapest stuff stay safe everyone covid19 coronaoutbreak coronaviru coronavirusupd,nan
1130,much alcohol local supermarket also gone along meat lead think british public plan combat covid19 boy get piss garden coronaoutbreak,nan
1131,noth remind covid19 hit andi bookstore online shop wonder staff help pick someth wonder kid may stay home start bay area list thread pleas add more start local list,nan
1132,thelastleg visitor stock pile caus food industry great burden order sky rocket struggle cope demand ever decrease workforce due covid19 foodwast,nan
1133,trumpet player park lot grocery store stop today get supply parent neighbor good gave 20 little covid19 behind,nan
1134,coronaviru prepare stickup,nan
1135,five time mani peopl local supermarket usual time week peace though shortage food stuff covid19,nan
1136,necessary stock nonperish start ration food eat one meal day eat ever day help coronapocalyps coronaviru covid19 ration food shortage,nan
1137,check elderly ruler neighbour see need anyth shop pharmacy need pet walk okay bail access order shop online show alon peopl care,nan
1138,coronaviruspandem u metalwork like thi today store toilet roll am gone good luck fellow retail work go down coronaviru fridaythe13th,nan
1139,panic beget panic let sure check well all neighbor covid19 coronaviru toiletpap food panic staysail,nan
1140,visit grocery store im convince extreme coupon hoarder sit home laugh u covid19,nan
1141,covid19 way howe flight price love,nan
1142,peopl clear shelf supermarket hope truly afford stuff buy sensible make sure bank account surviv covid19 over,nan
1143,im go grocery shop tomorrow leav hous week know end refuse panic im go take serious covid19 hope find toilet paper everywher out peopl sell 30 roll online,nan
